Location,Sample,Ala,Asx,Glx,Iso,Leu,Pro,Val,Gly,Lys,Met,Phe,Ser,Thr,Tyr
SDB,153,23.7,19,20.3,18.9,19.7,20.6,22.3,22.2,14.5,11.8,13.8,19.5,8.7,10.5
SDB,195,26.5,18,21.2,19.1,20.5,22.7,23.2,24.9,14.9,13.2,14.7,20.9,11.8,11.7
SDB,202,23.9,19.6,21.7,20.2,20.3,23.8,23,25,15.2,,16.3,21.5,11.4,7.5
BMA,2184,,13.7,14.2,,13.7,16,,16.8,7.6,,9.8,14.5,11.5,6.5
BMA,2186,17.3,11.9,14.3,12.6,13.2,14.1,13.5,13.8,5.6,,7.5,12.5,1.8,4.5
BMA,2196,18.7,11.6,13.4,12.4,12.6,15.2,16,15.9,5.7,,8.5,12,4.2,5.2
BLA,114,23.4,16.7,17.9,18.1,19.2,17.2,20.6,19.7,10.7,,12.7,15.4,8.5,9.1
BLA,132,31.6,20.1,24.7,28.5,27.6,20.9,,16.8,7.5,,10.4,15.5,-15.5,8.8
BLA,135,26.1,18.5,21.6,23.2,21.4,20.7,24.9,20.4,10.3,12.6,12.5,17.7,1.1,6.9
DUL,6880,24.6,16.8,21.7,24,22,19.9,22.6,17.1,6.9,8.8,10.6,15.9,-8.8,7
DUL,6881,18.8,13.3,15.9,14.3,13.8,16.3,15.2,16.4,6.1,,6.1,12.7,-0.1,5
DUL,6908,22.4,17.3,22.2,19.9,19.6,20.1,18.4,15.8,7.1,,8,15.3,-5.6,8.8
IGD,2888, ,14.3,15.8,12.9,14.7,16.7,15.9,17,6.2,,10.8,13.5,8,6
IGD,2900,20.1,15.1,19.2,16.4,16.5,18,16.9,13.9,4.8,,9.4,12.7,-3.8,5.5
IGD,2938,18.1,14.5,17,14.6,15,16.3,18.9,17.9,6.5,,11.6,16.4,5.2,6.5
PAR,935,26.1,16.9,22.5,25.3,23.2,19.3,24.6,13.2,5.4,11.8,8.7,13.1,-15,6
PAR,938,25.9,18,23.5,25,24.3,22.2,20.8,15.1,6.5,,10.6,12.9,-8.7,7.8
PAR,941,26.4,15.8,21.2,24.2,22.5,20.2,18.1,13.5,4.6,,9.2,14.8,-10.9,6.1
MEJ,8015,26.2,18.3,22.7,23,22.5,21.4,23.1,15.2,9,7.1,9.6,14.2,-7.8,9
MEJ,8010,27.9,20.4,25.4,24.6,25.4,22.9,24.6,16.1,10.5,13.1,10.4,15.4,-7.3,13.4
MEJ,8019,29.9,22,26.8,27.4,27.1,25.2,26.3,20,12,16.6,14.1,18.6,-1.7,13.4
