Ordered_SITE,Location_Code,Var_factor,No.,Region
1-SGR_SBN,LB,2.2891212,1,SoCal-Baja Pacific Coast
3-SDB,SDB,1.0398159,3,SoCal-Baja Pacific Coast
4-NGU,NGU,3.1405196,4,SoCal-Baja Pacific Coast
6-BMA,BMA,3.6013454,6,SoCal-Baja Pacific Coast
9-BLA,BLA,0.9678292,9,Gulf of California
11-CIN,CIN,1.0098258,11,Gulf of California
12-NAV,NAV,0.8013033,12,Gulf of California
13-DUL,DUL,1,13,Central-S. America Pacific Coast
14-PAR,PAR,0.8720286,14,Central-S. America Pacific Coast
15-MEJ,MEJ,0.4232444,15,Central-S. America Pacific Coast
17-COC,COC,2.2749285,17,East Pacific Islands
18-GOR,GOR,0.7601065,18,East Pacific Islands
19-IGP,IGP,1.060971,19,East Pacific Islands
20-IGE,IGE,1.4905383,20,East Pacific Islands
21-IGD,IGD,2.7319772,21,East Pacific Islands
24-PPE,PPE,0.6630219,24,Oceanic
