"Ordered_SITE","Habitat_Type","N","mean","sd","se"
"1-SGR_SBN","coastal",25,-16.34,2.34716140618123,0.469432281236247
"3-SDB","coastal",87,-16.016091954023,1.06616827102658,0.114305236761394
"4-NGU","coastal",19,-14.9421052631579,3.22013039581969,0.738748577915877
"6-BMA","coastal",25,-17.116,3.69263681759616,0.738527363519231
"9-BLA","coastal",53,-15.6415094339623,0.992361976890751,0.136311400786949
"11-CIN","coastal",28,-14.8107142857143,1.03542415202813,0.195676771981169
"12-NAV","coastal",33,-16.0557575757576,0.821614379982446,0.143024705366838
"13-DUL","coastal",74,-15.0135135135135,1.02533981327733,0.119193332203519
"14-PAR","coastal",21,-15.4952380952381,0.894134324627005,0.195116105907689
"15-MEJ","coastal",21,-14.9333333333333,0.433973885543051,0.0947008657207207
"17-COC","insular",67,-17.9432835820896,2.33259017693084,0.284971245826616
"18-GOR","insular",76,-16.6631578947368,0.779374468021316,0.0894003827705444
"19-IGP","insular",41,-12.3170731707317,1.08786544182274,0.169896038478069
"20-IGE","insular",37,-15.7918918918919,1.52832122466639,0.251254461612437
"21-IGD","insular",37,-15.7918918918919,2.80122774455717,0.46051900441687
"24-PPE","oceanic",74,-16.1310810810811,0.679831904218488,0.0790288536081136
