"Ordered_SITE","Habitat_Type","N","mean","sd","se"
"1-SGR_SBN","coastal",25,16.7,1.15938201929591,0.231876403859182
"3-SDB","coastal",87,17.5367816091954,1.39809795565666,0.14989183431906
"4-NGU","coastal",19,11.5684210526316,2.17640188067343,0.499300834651965
"6-BMA","coastal",25,10.24,2.75060599383724,0.550121198767447
"9-BLA","coastal",53,15.7547169811321,1.11830332298804,0.15361077511133
"11-CIN","coastal",28,16.1071428571429,1.11253083899947,0.210248566134474
"12-NAV","coastal",33,16.3651515151515,1.21219357265074,0.211015815691603
"13-DUL","coastal",74,12.477027027027,1.70868428893682,0.198630513947567
"14-PAR","coastal",21,13.1190476190476,1.48243686125887,0.323494244271977
"15-MEJ","coastal",21,16.0857142857143,2.48601804383752,0.542493612614832
"17-COC","insular",67,13.0805970149254,1.57828433951382,0.192818120794662
"18-GOR","insular",76,13.7289473684211,0.794114314100715,0.0910911590732667
"19-IGP","insular",41,12.1048780487805,0.780368893380623,0.1218731457401
"20-IGE","insular",37,11.6108108108108,1.01865482753367,0.167465822060249
"21-IGD","insular",37,11.5378378378378,1.47842847332928,0.243052143818739
"24-PPE","oceanic",74,11.5364864864865,1.42006890864293,0.165079657483254
