N_to_S_ordination,Ordered_SITE,Habitat_Type,Region,N_d15N,mean_d15N,sd_d15N,se_d15N
21,SGR_SBN,coastal,SC-BC Pac Coast,25,16.7,1.159382019,0.231876404
20,SDB,coastal,SC-BC Pac Coast,87,17.53678161,1.398097956,0.149891834
13,BMA,coastal,SC-BC Pac Coast,25,10.24,2.750605994,0.550121199
19,BLA,coastal,Gulf of Cal,53,15.75471698,1.118303323,0.153610775
18,CIN,coastal,Gulf of Cal,28,16.10714286,1.112530839,0.210248566
11,DUL,coastal,Cen-SoAm Pac Coast,74,12.47702703,1.708684289,0.198630514
2,PAR,coastal,Cen-SoAm Pac Coast,21,13.11904762,1.482436861,0.323494244
1,MEJ,coastal,Cen-SoAm Pac Coast,21,16.08571429,2.486018044,0.542493613
10,COC,insular,EPac Islands,67,13.08059701,1.57828434,0.192818121
9,GOR,insular,EPac Islands,76,13.72894737,0.794114314,0.091091159
8,IGP,insular,EPac Islands,41,12.10487805,0.780368893,0.121873146
7,IGE,insular,EPac Islands,37,11.61081081,1.018654828,0.167465822
6,IGD,insular,EPac Islands,37,11.53783784,1.478428473,0.243052144
3,PPE,oceanic,Oceanic,74,11.53648649,1.420068909,0.165079657
16,NGU,coastal,SC-BC Pac Coast,19,11.56842105,2.176401881,0.499300835
12,NAV,coastal,Gulf of Cal,33,16.36515152,1.212193573,0.211015816
