Ordered_SITE,Site,Latitude,Longitude,mean_d15N,mean_d13C
SGR_SBN,Seal Beach / San Gabriel river,33.7399,-118.1077,16.7,-16.34
SDB,San Diego Bay,32.6001,-117.1161,17.43636364,-16.01704545
BMA,Magdalena Bay,24.6586,-111.9485,10.07307692,-16.76923077
BLA,Bahia de Los Angeles,28.9123,-113.51,15.75471698,-15.64150943
CIN,Canal Infiernillo,29.1085,-112.2048,16.10714286,-14.81071429
DUL,Golfo Dulce,8.6129,-83.3061,12.47702703,-15.01351351
GOR,Isla Gorgona,2.9683,-78.1844,13.72894737,-16.66315789
COC,Cocos Island,5.5317,-87.0646,13.08059701,-17.94328358
PAR,Pisco Paracas,-13.8409,-76.2508,13.11904762,-15.4952381
PPE,Peru Pelagic,-8.5116,-86.8245,11.53648649,-16.13108108
MEJ,Mejillones,-23.0985,-70.4455,16.08571429,-14.93333333
IGD,Galapagos - Caleta Derek,-0.5887,-91.0956,11.53783784,-15.79189189
IGE,Galapagos-Bahia Elizabeth,-0.2642,-91.4471,11.61081081,-15.79189189
IGP,Galapagos - Punta Espinoza,-0.6954,-91.0551,12.10487805,-12.31707317
NGU,"North Gulf of Ulloa, BCS, MX",26.8436,-113.1795,11.56842105,-14.94210526
NAV,Navachiste,25.433,-108.8,16.36515152,-16.05575758
