Ordered_SITE,Location_Code,Var_factor,No.,Region
1-SGR_SBN,LB,0.6785455,1,SoCal-Baja Pacific Coast
3-SDB,SDB,0.8182476,3,SoCal-Baja Pacific Coast
4-NGU,NGU,1.2737698,4,SoCal-Baja Pacific Coast
6-BMA,BMA,1.609836,6,SoCal-Baja Pacific Coast
9-BLA,BLA,0.6545007,9,Gulf of California
11-CIN,CIN,0.651125,11,Gulf of California
12-NAV,NAV,0.709452,12,Gulf of California
13-DUL,DUL,1,13,Central-S. America Pacific Coast
14-PAR,PAR,0.8676175,14,Central-S. America Pacific Coast
15-MEJ,MEJ,1.4549768,15,Central-S. America Pacific Coast
17-COC,COC,0.9237127,17,East Pacific Islands
18-GOR,GOR,0.4647658,18,East Pacific Islands
19-IGP,IGP,0.4567214,19,East Pacific Islands
20-IGE,IGE,0.5961817,20,East Pacific Islands
21-IGD,IGD,0.8652709,21,East Pacific Islands
24-PPE,PPE,0.8311136,24,Oceanic
